index,Summary,word,POS,freq,forms,important,ranking
214,care|v,care,v,3199,"care, cared, cares, caring",vital,214
215,car|n,car,n,3191,"car, cars",vital,215
216,move|v,move,v,3187,"move, moved, moves, moving",vital,216
217,ah|u,ah,u,3158,"ah, aah",vital,217
218,idea|n,idea,n,3136,"idea, ideas",vital,218
219,another|fw,another,fw,3083,another,vital,219
220,someone|fw,someone,fw,3080,someone,vital,220
221,today|r,today,r,3055,today,vital,221
222,turn|v,turn,v,3042,"turn, turned, turning, turns",vital,222
223,real|j,real,j,3008,real,vital,223
224,happy|j,happy,j,2995,"happy, happier, happiest",vital,224
225,whole|j,whole,j,2956,whole,vital,225
226,week|n,week,n,2954,"week, weeks",vital,226
227,job|n,job,n,2948,"job, jobs",vital,227
228,fun|n,fun,n,2933,fun,vital,228
229,problem|n,problem,n,2931,"problem, problems",vital,229
230,break|v,break,v,2921,"break, breaking, breaks, broke, broken",vital,230
231,world|n,world,n,2910,"world, worlds",vital,231
232,which|fw,which,fw,2903,which,vital,232
233,must|v,must,v,2891,must,vital,233
234,party|n,party,n,2855,"party, parties",vital,234
235,buy|v,buy,v,2827,"buy, bought, buying, buys",vital,235
236,through|fw,through,fw,2810,through,vital,236
237,together|r,together,r,2796,together,vital,237
238,room|n,room,n,2789,"room, rooms",vital,238
239,family|n,family,n,2785,"family, families",vital,239
240,stay|v,stay,v,2781,"stay, stayed, staying, stays",vital,240
241,lose|v,lose,v,2710,"lose, loses, losing, lost",vital,241
242,stuff|n,stuff,n,2710,stuff,vital,242
243,son|n,son,n,2692,"son, sons",vital,243
244,stupid|j,stupid,j,2687,"stupid, stupider, stupidest",vital,244
245,name|n,name,n,2683,"name, names",vital,245
246,everybody|fw,everybody,fw,2644,everybody,vital,246
247,last|v,last,v,2639,"last, lasted, lasting, lasts",vital,247
248,long|r,long,r,2639,"long, longer, longest",vital,248
249,tonight|r,tonight,r,2608,tonight,vital,249
250,child|n,child,n,2602,"child, children",vital,250
251,sit|v,sit,v,2600,"sit, sat, sits, sitting",critical,251
252,course|n,course,n,2585,"course, courses",critical,252
253,pretty|j,pretty,j,2577,"pretty, prettier, prettiest",critical,253
254,hold|v,hold,v,2574,"hold, held, holding, holds",critical,254
255,game|n,game,n,2534,"game, games",critical,255
256,forget|v,forget,v,2519,"forget, forgets, forgetting, forgot, forgotten",critical,256
257,else|r,else,r,2504,else,critical,257
258,own|j,own,j,2501,own,critical,258
259,five|m,five,m,2493,"five, fives",critical,259
260,second|m,second,m,2491,second,critical,260
261,doctor|n,doctor,n,2486,"doctor, doctors",critical,261
262,dollar|n,dollar,n,2485,"dollar, dollars",critical,262
263,enough|fw,enough,fw,2484,enough,critical,263
264,dog|n,dog,n,2442,"dog, dogs",critical,264
265,funny|j,funny,j,2438,"funny, funnier, funniest",critical,265
266,wear|v,wear,v,2436,"wear, wearing, wears, wore, worn",critical,266
267,die|v,die,v,2426,"die, died, dies, dying",critical,267
268,sir|n,sir,n,2425,"sir, sirs",critical,268
269,hard|j,hard,j,2422,"hard, harder, hardest",critical,269
270,honey|n,honey,n,2414,honey,critical,270
271,sound|v,sound,v,2411,"sound, sounded, sounding, sounds",critical,271
272,sex|n,sex,n,2388,"sex, sexes",critical,272
273,hate|v,hate,v,2369,"hate, hated, hates, hating",critical,273
274,suppose|v,suppose,v,2368,"suppose, supposed, supposes, supposing",critical,274
275,God|K,God,K,2362,God,critical,275
276,head|n,head,n,2362,"head, heads",critical,276
277,understand|v,understand,v,2360,"understand, understanding, understands, understood",critical,277
278,whoa|u,whoa,u,2341,whoa,critical,278
279,movie|n,movie,n,2340,"movie, movies",critical,279
280,worry|v,worry,v,2329,"worry, worried, worries, worrying",critical,280
281,cool|j,cool,j,2323,"cool, cooler, coolest",critical,281
282,marry|v,marry,v,2323,"marry, married, marries, marrying",critical,282
283,miss|v,miss,v,2318,"miss, missed, misses, missing",critical,283
284,pay|v,pay,v,2314,"pay, paid, paying, pays",critical,284
285,hour|n,hour,n,2313,"hour, hours",critical,285
286,crazy|j,crazy,j,2291,"crazy, crazier, craziest",critical,286
287,change|v,change,v,2256,"change, changed, changes, changing",critical,287
288,hot|j,hot,j,2256,"hot, hotter, hottest",critical,288
289,most|fw,most,fw,2244,most,critical,289
290,excuse|v,excuse,v,2232,"excuse, excused, excuses, excusing",critical,290
291,mother|n,mother,n,2219,"mother, mothers",critical,291
292,check|v,check,v,2217,"check, checked, checking, checks",critical,292
293,pick|v,pick,v,2207,"pick, picked, picking, picks",critical,293
294,word|n,word,n,2207,"word, words",critical,294
295,same|j,same,j,2200,"same, sameness",critical,295
296,yourself|fw,yourself,fw,2188,"yourself, yourselves",critical,296
297,ready|j,ready,j,2177,"ready, readier, readiest",critical,297
298,seem|v,seem,v,2165,"seem, seemed, seeming, seems",critical,298
299,win|v,win,v,2162,"win, winning, wins, won",critical,299
300,walk|v,walk,v,2131,"walk, walked, walking, walks",critical,300
301,father|n,father,n,2108,"father, fathers",critical,301
302,story|n,story,n,2107,"story, stories",critical,302
303,already|r,already,r,2077,already,critical,303
304,hope|v,hope,v,2077,"hope, hoped, hopes, hoping",critical,304
305,part|n,part,n,2062,"part, parts",critical,305
306,open|v,open,v,2059,"open, opened, opening, opens",critical,306
307,lady|n,lady,n,2056,"lady, ladies",critical,307
308,read|v,read,v,2046,"read, reading, reads",critical,308
309,drink|v,drink,v,2033,"drink, drank, drinking, drinks, drunk",critical,309
310,sleep|v,sleep,v,2030,"sleep, sleeping, sleeps, slept",critical,310
311,number|n,number,n,2005,"number, numbers",critical,311
312,write|v,write,v,2001,"write, writes, writing, written, wrote",critical,312
313,morning|n,morning,n,1985,"morning, mornings",critical,313
314,tomorrow|n,tomorrow,n,1964,"tomorrow, tomorrows",critical,314
315,next|j,next,j,1947,next,critical,315
316,phone|n,phone,n,1945,"phone, phones, telephone, telephones",critical,316
317,four|m,four,m,1943,"four, fours",critical,317
318,last|m,last,m,1942,last,critical,318
319,once|r,once,r,1937,once,critical,319
320,somebody|fw,somebody,fw,1936,somebody,critical,320
321,probably|r,probably,r,1916,probably,critical,321
322,without|fw,without,fw,1910,without,critical,322
323,many|fw,many,fw,1904,many,critical,323
324,such|fw,such,fw,1901,such,critical,324
325,eye|n,eye,n,1896,"eye, eyes",critical,325
326,drive|v,drive,v,1890,"drive, driven, drives, driving, drove",critical,326
327,wife|n,wife,n,1885,"wife, wives",critical,327
328,book|n,book,n,1879,"book, books",critical,328
329,hang|v,hang,v,1860,"hang, hanged, hanging, hangs, hung",critical,329
330,since|fw,since,fw,1859,since,critical,330
331,throw|v,throw,v,1839,"throw, threw, throwing, thrown, throws",critical,331
332,name|v,name,v,1833,"name, named, naming, names",critical,332
333,dead|j,dead,j,1821,dead,critical,333
334,stand|v,stand,v,1815,"stand, standing, stands, stood",critical,334
335,myself|fw,myself,fw,1799,myself,critical,335
336,aw|u,aw,u,1794,aw,critical,336
337,dinner|n,dinner,n,1787,"dinner, dinners",critical,337
338,anyone|fw,anyone,fw,1772,anyone,critical,338
339,hand|n,hand,n,1767,"hand, hands",critical,339
340,each|fw,each,fw,1739,each,critical,340
341,anyway|r,anyway,r,1723,anyway,critical,341
342,television|n,television,n,1716,"television, televisions",critical,342
343,learn|v,learn,v,1715,"learn, learned, learning, learns",critical,343
344,shut|v,shut,v,1709,"shut, shuts, shutting",critical,344
345,town|n,town,n,1709,"town, towns",critical,345
346,beautiful|j,beautiful,j,1707,beautiful,critical,346
347,both|fw,both,fw,1687,both,critical,347
348,date|n,date,n,1682,"date, dates",critical,348
349,spend|v,spend,v,1680,"spend, spending, spends, spent",critical,349
350,office|n,office,n,1673,"office, offices",critical,350
351,hit|v,hit,v,1668,"hit, hits, hitting",critical,351
352,yet|fw,yet,fw,1658,yet,critical,352
353,save|v,save,v,1656,"save, saved, saves, saving",critical,353
354,true|j,TRUE,j,1653,"true, truer, truest",critical,354
355,sweet|j,sweet,j,1649,"sweet, sweeter, sweetest",critical,355
356,until|fw,until,fw,1642,until,critical,356
357,food|n,food,n,1628,"food, foods",critical,357
358,while|fw,while,fw,1620,while,critical,358
359,send|v,send,v,1617,"send, sending, sends, sent",critical,359
360,high|j,high,j,1602,"high, higher, highest",critical,360
361,anymore|r,anymore,r,1596,anymore,critical,361
362,also|r,also,r,1590,also,critical,362
363,news|n,news,n,1572,news,critical,363
364,Christmas|K,Christmas,K,1561,Christmas,critical,364
365,ten|m,ten,m,1560,ten,critical,365
366,ass|n,ass,n,1548,"ass, asses",critical,366
367,business|n,business,n,1542,"business, businesses",critical,367
368,only|j,only,j,1539,only,critical,368
369,couple|n,couple,n,1534,"couple, couples",critical,369
370,totally|r,totally,r,1532,totally,critical,370
371,door|n,door,n,1528,"door, doors",critical,371
372,gay|j,gay,j,1525,"gay, gayer, gayest",critical,372
373,exactly|r,exactly,r,1523,exactly,critical,373
374,parent|n,parent,n,1521,"parent, parents",critical,374
375,few|fw,few,fw,1516,"few, fewer, fewest",critical,375
376,month|n,month,n,1514,"month, months",critical,376
377,easy|j,easy,j,1508,"easy, easier, easiest",critical,377
379,ow|u,ow,u,1503,"ow, ouch, yow",critical,379
378,deal|n,deal,n,1503,"deal, deals",critical,378
380,hurt|v,hurt,v,1495,"hurt, hurting, hurts",critical,380
381,nobody|fw,nobody,fw,1495,nobody,critical,381
382,OK|r,OK,r,1480,OK,critical,382
383,perfect|j,perfect,j,1477,perfect,critical,383
384,lie|v,lie,v,1474,"lie, lay, lied, lies, lying",critical,384
385,free|j,free,j,1473,"free, freer, freest",critical,385
386,young|j,young,j,1471,"young, younger, youngest",critical,386
387,weird|j,weird,j,1465,"weird, weirder, weirdest",critical,387
388,whatever|fw,whatever,fw,1452,whatever,critical,388
390,work|n,work,n,1441,"work, works",critical,390
389,brother|n,brother,n,1441,"brother, brothers",critical,389
391,kid|v,kid,v,1432,"kid, kids, kidding, kidded",critical,391
392,ago|r,ago,r,1431,ago,critical,392
393,end|v,end,v,1427,"end, ended, ending, ends",critical,393
394,other|n,other,n,1426,"other, others",critical,394
395,ball|n,ball,n,1413,"ball, balls",critical,395
396,finally|r,finally,r,1413,finally,critical,396
397,line|n,line,n,1406,"line, lines",critical,397
398,its|fw,its,fw,1403,its,critical,398
399,ha|u,ha,u,1401,"ha, hah",critical,399
400,important|j,important,j,1401,important,critical,400
401,fall|v,fall,v,1400,"fall, fallen, falling, falls, fell",critical,401
402,heart|n,heart,n,1396,"heart, hearts",critical,402
403,long|j,long,j,1395,"long, longer, longest",critical,403
404,fat|j,fat,j,1393,"fat, fatter, fattest",critical,404
405,class|n,class,n,1388,"class, classes",critical,405
406,shoot|v,shoot,v,1377,"shoot, shooting, shoots, shot",critical,406
407,picture|n,picture,n,1370,"picture, pictures",critical,407
408,sell|v,sell,v,1369,"sell, sells, selling, sold",critical,408
409,side|n,side,n,1366,"side, sides",critical,409
410,wish|v,wish,v,1365,"wish, wished, wishes, wishing",critical,410
411,love|n,love,n,1364,"love, loves",critical,411
412,mind|n,mind,n,1360,"mind, minds",critical,412
413,hair|n,hair,n,1359,"hair, hairs",critical,413
414,cut|v,cut,v,1347,"cut, cuts, cutting",critical,414
415,wedding|n,wedding,n,1342,"wedding, weddings",critical,415
416,reason|n,reason,n,1339,"reason, reasons",critical,416
418,least|fw,least,fw,1335,least,critical,418
417,become|v,become,v,1335,"become, became, becomes, becoming",critical,417
419,look|n,look,n,1332,"look, looked, looking, looks",critical,419
420,bite|v,bite,v,1331,"bite, bites, biting, bit, bitten",critical,420
421,fuck|v,fuck,v,1318,"fuck, fucked, fucking, fucks",critical,421
422,under|fw,under,fw,1311,under,critical,422
423,bed|n,bed,n,1309,"bed, beds",critical,423
424,paper|n,paper,n,1308,"paper, papers",critical,424
425,different|j,different,j,1307,different,critical,425
426,catch|v,catch,v,1290,"catch, catches, catching, caught",critical,426
428,six|m,six,m,1289,six,critical,428
427,mine|fw,mine,fw,1289,mine,critical,427
429,set|v,set,v,1280,"set, sets, setting",critical,429
430,face|n,face,n,1274,"face, faces",critical,430
431,speak|v,speak,v,1268,"speak, speaks, speaking, spoke, spoken",critical,431
432,suck|v,suck,v,1260,"suck, sucks, sucking, sucked",critical,432
433,sometimes|r,sometimes,r,1258,sometimes,critical,433
434,city|n,city,n,1243,"city, cities",critical,434
435,special|j,special,j,1234,special,critical,435
436,stick|v,stick,v,1225,"stick, sticks, sticking, stuck",critical,436
437,question|n,question,n,1223,"question, questions",critical,437
438,dude|n,dude,n,1215,"dude, dudes",critical,438
439,realize|v,realize,v,1212,"realize, realized, realizes, realizing",critical,439
440,birthday|n,birthday,n,1209,"birthday, birthdays",critical,440
441,point|n,point,n,1207,"point, points",critical,441
442,enjoy|v,enjoy,v,1206,"enjoy, enjoyed, enjoying, enjoys",critical,442
443,fact|n,fact,n,1201,"fact, facts",critical,443
444,dance|v,dance,v,1195,"dance, danced, dances, dancing",critical,444
445,soon|r,soon,r,1191,soon,critical,445
446,bar|n,bar,n,1185,"bar, bars",critical,446
447,wonder|v,wonder,v,1182,"wonder, wondered, wondering, wonders",critical,447
449,relationship|n,relationship,n,1179,"relationship, relationships",critical,449
448,joke|n,joke,n,1179,"joke, jokes",critical,448
450,chance|n,chance,n,1175,"chance, chances",critical,450
451,black|j,black,j,1170,"black, blacker, blackest",critical,451
452,almost|r,almost,r,1168,almost,critical,452
453,fight|v,fight,v,1156,"fight, fights, fighting, fought",critical,453
454,card|n,card,n,1154,"card, cards",critical,454
455,song|n,song,n,1154,"song, songs",critical,455
456,little|fw,little,fw,1148,little,critical,456
458,coffee|n,coffee,n,1147,"coffee, coffees",critical,458
457,bye|u,bye,u,1147,"bye, bye",critical,457
460,sick|j,sick,j,1133,"sick, sicker, sickest",critical,460
459,awesome|j,awesome,j,1133,awesome,critical,459
461,apartment|n,apartment,n,1132,"apartment, apartments",critical,461
462,sorry|u,sorry,u,1127,sorry,critical,462
463,back|n,back,n,1126,"back, backs",critical,463
464,figure|v,figure,v,1121,"figure, figured, figures, figuring",critical,464
465,pull|v,pull,v,1118,"pull, pulled, pulling, pulls",critical,465
466,box|n,box,n,1111,"box, boxes",critical,466
468,water|n,water,n,1110,"water, waters",critical,468
467,dream|n,dream,n,1110,"dream, dreams",critical,467
469,decide|v,decide,v,1109,"decide, decided, decides, deciding",critical,469
470,store|n,store,n,1107,"store, stores",critical,470
471,bet|v,bet,v,1106,"bet, bets, betting",critical,471
472,lunch|n,lunch,n,1105,"lunch, lunches",critical,472
473,face|v,face,v,1103,"face, faces, facing, faced",critical,473
474,anybody|fw,anybody,fw,1101,anybody,critical,474
475,afraid|j,afraid,j,1096,afraid,critical,475
476,buddy|n,buddy,n,1096,"buddy, buddies",critical,476
477,cute|j,cute,j,1090,"cute, cuter, cutest",critical,477
478,close|j,close,j,1085,"close, closer, closest",critical,478
479,bathroom|n,bathroom,n,1082,"bathroom, bathrooms",critical,479
480,show|n,show,n,1081,"show, shows",critical,480
481,mind|v,mind,v,1076,"mind, minded, minding, minds",critical,481
482,steal|v,steal,v,1073,"steal, steals, stealing, stole, stolen",critical,482
483,full|j,full,j,1070,"full, fuller, fullest",critical,483
484,company|n,company,n,1061,"company, companies",critical,484
485,front|n,front,n,1061,"front, fronts",critical,485
486,ahead|r,ahead,r,1059,ahead,critical,486
487,moment|n,moment,n,1058,"moment, moments",critical,487
488,case|n,case,n,1056,"case, cases",critical,488
489,date|v,date,v,1050,"date, dated, dates, dating",critical,489
490,though|fw,though,fw,1050,"though, tho",critical,490
491,body|n,body,n,1043,"body, bodies",critical,491
492,Mrs|n,Mrs,n,1040,"Mrs., Mmes.",critical,492
493,pants|n,pants,n,1040,pants,critical,493
494,bitch|n,bitch,n,1039,"bitch, bitches",critical,494
495,promise|v,promise,v,1039,"promise, promises, promising, promised",critical,495
496,glad|j,glad,j,1037,"glad, gladder, gladdest",critical,496
497,kiss|v,kiss,v,1036,"kiss, kissed, kisses, kissing",critical,497
498,either|fw,either,fw,1023,either,critical,498
499,fire|v,fire,v,1021,"fire, fires, firing, fired",critical,499
500,grow|v,grow,v,1021,"grow, grows, growing, grew, grown",critical,500
501,build|v,build,v,1019,"build, builds, building, built",extremely useful,501
502,table|n,table,n,1010,"table, tables",extremely useful,502
503,ticket|n,ticket,n,1006,"ticket, tickets",extremely useful,503
504,matter|v,matter,v,1005,"matter, matters, mattering, mattered",extremely useful,504
505,teach|v,teach,v,1002,"teach, teaches, teaching, taught",extremely useful,505
507,sister|n,sister,n,997,"sister, sisters",extremely useful,507
506,cat|n,cat,n,997,"cat, cats",extremely useful,506
508,girlfriend|n,girlfriend,n,993,"girlfriend, girlfriends",extremely useful,508
509,hat|n,hat,n,991,"hat, hats",extremely useful,509
510,touch|v,touch,v,991,"touch, touches, touching, touched",extremely useful,510
511,terrible|j,terrible,j,990,terrible,extremely useful,511
512,beer|n,beer,n,985,"beer, beers",extremely useful,512
513,damn|u,damn,u,984,damn,extremely useful,513
514,mm-hmm|u,mm-hmm,u,983,mm-hmm,extremely useful,514
