,word,POS,ranking,Finnish,English
48,busy,j,730.0,ylösotettu,busy
49,careful,j,1000.0,huolellinen,careful
50,central,j,2370.0,keskinen,central
51,certain,r,1304.0,tietty,certain
52,certain,j,3102.0,tietty,certain
53,charming,j,1970.0,ihastuttava,charming
54,cheap,j,1391.0,halpa,cheap
55,childish,j,4816.0,lapsellinen,childish
56,chilly,j,4750.0,kolea,chilly
57,chubby,j,3917.0,pullea,chubby
58,classic,j,1216.0,klassinen,classic
59,clean,j,929.0,puhdas,clean
60,clear,j,714.0,selkeä,clear
61,clever,j,1952.0,fiksu,clever
62,close,j,478.0,läheinen,close
63,cold,j,660.0,kylmä,cold
64,colorful,j,5001.0,sävykäs,colorful
65,comfortable,j,945.0,viihtyisä,comfortable
66,comic,j,1432.0,koominen,comic
67,common,j,1197.0,yhteinen,common
68,competitive,j,3963.0,kilpailuhenkinen,competitive
69,complex,j,3670.0,monimutkainen,complex
70,constant,j,3546.0,ainainen,constant
71,controversial,j,5002.0,kiistanalainen,controversial
72,cool,j,281.0,viileä,cool
73,correct,j,1602.0,korrekti,correct
74,cranky,j,4063.0,ärtyisä,cranky
75,crazy,j,286.0,hullu,crazy
76,creative,j,2357.0,luova,creative
77,creepy,j,1632.0,karmiva,creepy
78,crispy,j,5004.0,rapea,crispy
79,critical,j,4158.0,kriittinen,critical
80,crooked,j,4023.0,käyrä,crooked
81,cruel,j,2268.0,julma,cruel
82,cultural,j,4024.0,kulttuurinen,cultural
83,curious,j,1935.0,utelias,curious
84,curly,j,4623.0,kihara,curly
85,cute,j,477.0,söpö,cute
86,daily,j,2726.0,päivittäinen,daily
87,dangerous,j,1116.0,vaarallinen,dangerous
88,dark,j,855.0,tumma,dark
89,dead,j,333.0,kuollut,dead
90,deaf,j,3219.0,kuuro,deaf
91,dear,j,562.0,armas,dear
92,decent,j,2381.0,kelpo,decent
93,deep,j,906.0,syvä,deep
94,delicate,j,3248.0,herkkä,delicate
95,delicious,j,1043.0,herkullinen,delicious
96,dental,j,2767.0,dentaali,dental
97,depressed,j,2521.0,masentunut,depressed
98,depressing,j,3749.0,masentava,depressing
99,desperate,j,2062.0,epätoivoinen,desperate
100,devastated,j,4159.0,pöyristynyt,devastated
101,different,j,425.0,erilainen,different
102,difficult,j,1347.0,hankala,difficult
103,direct,j,4625.0,suoranainen,direct
104,dirty,j,868.0,likainen,dirty
105,disgusting,j,1218.0,vastenmielinen,disgusting
106,distant,j,4876.0,kaukainen,distant
107,domestic,j,5006.0,kotimainen,domestic
108,double,j,1412.0,kaksinkertainen,double
109,double,r,3839.0,kaksinkertainen,double
110,dramatic,j,3886.0,dramaattinen,dramatic
111,drunk,j,2748.0,humalainen,drunk
112,dry,j,1692.0,kuiva,dry
113,dull,j,4382.0,tylsä,dull
114,dumb,j,833.0,tyhmä,dumb
115,early,j,555.0,aikainen,early
116,early,r,3966.0,aikainen,early
117,eastern,j,5007.0,itäinen,eastern
118,easy,j,377.0,helppo,easy
119,educational,j,4759.0,opetuksellinen,educational
120,effective,j,3752.0,efektiivinen,effective
121,elegant,j,4555.0,elegantti,elegant
122,elementary,j,2028.0,elementaarinen,elementary
123,emotional,j,1731.0,tunteellinen,emotional
124,empty,j,1487.0,tyhjä,empty
125,endless,j,4430.0,loputon,endless
126,enormous,j,3634.0,suunnaton,enormous
127,entire,j,673.0,ehytlaitainen,entire
128,epic,j,4679.0,eeppinen,epic
129,equal,j,3711.0,tasavertainen,equal
130,erotic,j,4879.0,eroottinen,erotic
131,eternal,j,4064.0,iankaikkinen,eternal
132,exact,j,1737.0,täsmällinen,exact
133,excellent,j,951.0,erinomainen,excellent
134,exciting,j,3286.0,jänskä,exciting
135,exclusive,j,4633.0,yksinomainen,exclusive
136,exotic,j,4822.0,eksoottinen,exotic
137,expensive,j,1400.0,kallis,expensive
138,experimental,j,4945.0,kokeellinen,experimental
139,extreme,j,3635.0,äärimmäinen,extreme
140,fabulous,j,1366.0,satumainen,fabulous
141,fair,j,615.0,reilu,fair
142,fake,j,936.0,feikki,fake
143,familiar,j,1521.0,tuttu,familiar
144,famous,j,1157.0,kuuluisa,famous
145,fantastic,j,843.0,fantastinen,fantastic
146,fast,r,685.0,nopea,fast
147,fast,j,1027.0,nopea,fast
148,fat,j,404.0,lihava,fat
149,female,j,1660.0,naispuolinen,female
150,final,j,1074.0,lopullinen,final
151,fine,j,164.0,hieno,fine
152,firm,j,3202.0,luja,firm
153,flat,j,2897.0,litteä,flat
154,fluffy,j,3756.0,pöyheä,fluffy
155,following,j,3163.0,jälkeinen,following
156,foolish,j,3525.0,narrimainen,foolish
157,foreign,j,2805.0,ulkomaalainen,foreign
158,former,j,2665.0,entinen,former
159,forward,r,1086.0,eteenpäinen,forward
160,free,j,385.0,vapaa,free
161,fried,j,4270.0,paistettu,fried
162,friendly,j,2005.0,ystävällinen,friendly
163,frozen,j,3843.0,routainen,frozen
164,full,j,483.0,täysi,full
165,funny,j,265.0,hassu,funny
166,fuzzy,j,4385.0,sumea,fuzzy
167,generous,j,2666.0,antelias,generous
168,genetic,j,3637.0,geneettinen,genetic
169,gentle,j,2280.0,hellävarainen,gentle
170,global,j,2782.0,globaali,global
171,glorious,j,3606.0,loistelias,glorious
172,golden,j,1745.0,kultainen,golden
173,good,j,43.0,hyvä,good
174,gorgeous,j,1469.0,hulppea,gorgeous
175,grand,j,2440.0,mahtava,grand
176,grateful,j,3310.0,kiitollinen,grateful
177,greasy,j,4952.0,rasvainen,greasy
178,great,j,100.0,upea,great
179,greedy,j,4068.0,ahne,greedy
180,green,j,1067.0,vihreä,green
181,guilty,j,1385.0,syyllinen,guilty
182,hairy,j,4119.0,karvainen,hairy
183,handsome,j,1284.0,komea,handsome
184,handy,j,4120.0,kätevä,handy
185,happy,j,224.0,iloinen,happy
186,hard,j,269.0,kova,hard
187,harmless,j,4273.0,harmiton,harmless
188,harsh,j,3490.0,ankara,harsh
189,healthy,j,1298.0,terve,healthy
190,heavy,j,1652.0,painava,heavy
191,helpful,j,2321.0,avulias,helpful
192,helpless,j,4559.0,avuton,helpless
193,hideous,j,3315.0,rujo,hideous
194,hilarious,j,1429.0,hulvaton,hilarious
195,historic,j,4826.0,historiallinen,historic
196,holy,j,850.0,pyhä,holy
197,homeless,j,2085.0,asunnoton,homeless
198,honest,j,848.0,rehellinen,honest
199,hopeless,j,2988.0,lohduton,hopeless
200,horrible,j,765.0,kamala,horrible
201,hostile,j,5019.0,vihamielinen,hostile
202,hot,j,288.0,kuuma,hot
203,huge,j,680.0,valtava,huge
204,human,j,645.0,inhimillinen,human
205,humble,j,4121.0,nöyrä,humble
206,hungry,j,839.0,nälkäinen,hungry
207,ideal,j,4737.0,ihanteellinen,ideal
208,identical,j,4564.0,identtinen,identical
209,ignorant,j,3932.0,ignorantti,ignorant
210,ill,j,3890.0,sairas,ill
211,illegal,j,1828.0,laiton,illegal
212,imaginary,j,2552.0,kuvitteellinen,imaginary
213,immature,j,4168.0,epäkypsä,immature
214,important,j,400.0,tärkeä,important
215,impossible,j,1274.0,mahdoton,impossible
216,inappropriate,j,2177.0,asiaton,inappropriate
217,independent,j,3758.0,itsenäinen,independent
218,industrial,j,5021.0,teollinen,industrial
219,infinite,j,4773.0,ääretön,infinite
220,inner,j,3823.0,sisempi,inner
221,innocent,j,1670.0,viaton,innocent
222,insane,j,994.0,mielipuolinen,insane
223,insecure,j,4033.0,epävarma,insecure
224,intelligent,j,2832.0,älykäs,intelligent
225,interested,j,817.0,kiinnostunut,interested
226,interesting,j,681.0,mielenkiintoinen,interesting
227,international,j,4035.0,kansainvälinen,international
228,intimate,j,3084.0,intiimi,intimate
229,invisible,j,3678.0,näkymätön,invisible
230,ironic,j,2771.0,ironinen,ironic
231,irrelevant,j,5024.0,epäoleellinen,irrelevant
232,irresponsible,j,4390.0,vastuuton,irresponsible
233,jealous,j,1109.0,kateellinen,jealous
234,juicy,j,3493.0,mehukas,juicy
235,just,r,28.0,oikeudenmukainen,just
236,kind,j,2349.0,kiltti,kind
237,large,j,1075.0,mittava,large
238,late,j,213.0,myöhäinen,late
239,late,r,2874.0,myöhäinen,late
240,lazy,j,1847.0,laiska,lazy
241,left,j,1986.0,vasen,left
242,left,r,2763.0,vasen,left
243,legal,j,1709.0,laillinen,legal
244,legendary,j,4739.0,legendaarinen,legendary
245,liberal,j,4441.0,liberaali,liberal
246,likely,j,2754.0,todennäköinen,likely
247,little,j,87.0,pieni,little
248,live,j,4958.0,elävä,live
249,local,j,1434.0,paikallinen,local
250,logical,j,3977.0,looginen,logical
251,lonely,j,1488.0,yksinäinen,lonely
252,long,r,248.0,pitkä,long
253,long,j,403.0,pitkä,long
254,loose,j,2049.0,irrallinen,loose
255,lost,j,2473.0,hävinnyt,lost
256,loud,j,986.0,kovaääninen,loud
257,lovable,j,4693.0,rakastettava,lovable
258,loving,j,4779.0,rakas,loving
259,low,j,1145.0,matala,low
260,low,r,2080.0,matala,low
261,loyal,j,3797.0,lojaali,loyal
262,lucky,j,658.0,onnekas,lucky
263,mad,j,582.0,sekopäinen,mad
264,magical,j,1995.0,maaginen,magical
265,magnificent,j,3641.0,suurenmoinen,magnificent
266,main,j,2136.0,pääasiallinen,main
267,male,j,1866.0,miespuolinen,male
268,manly,j,4780.0,miehekäs,manly
269,married,j,4223.0,nainut,married
270,massive,j,3112.0,massiivinen,massive
271,medical,j,1624.0,lääketieteellinen,medical
272,medium,j,3497.0,keskikokoinen,medium
273,messy,j,3646.0,sotkuinen,messy
274,mighty,j,2876.0,mahdikas,mighty
275,mighty,r,3829.0,mahdikas,mighty
276,mild,j,4894.0,mieto,mild
277,military,j,4962.0,sotilaallinen,military
278,miserable,j,2535.0,surkea,miserable
279,modern,j,3061.0,nykyaikainen,modern
280,moist,j,3803.0,kostea,moist
281,moral,j,3938.0,moraalinen,moral
282,musical,j,2602.0,musikaalinen,musical
283,mutual,j,4443.0,molemminpuolinen,mutual
284,mysterious,j,2946.0,salaperäinen,mysterious
285,naive,j,4076.0,naiivi,naive
286,naked,j,709.0,paljas,naked
287,national,j,1371.0,valtakunnallinen,national
288,native,j,1879.0,natiivi,native
289,natural,j,1468.0,luonnollinen,natural
290,naughty,j,2858.0,tuhma,naughty
291,necessary,j,2017.0,tarpeellinen,necessary
292,negative,j,2360.0,negatiivinen,negative
293,nervous,j,1001.0,hermostunut,nervous
294,new,j,157.0,uusi,new
295,next,j,315.0,seuraava,next
296,next,r,590.0,seuraava,next
297,nice,j,156.0,kiva,nice
298,noble,j,3574.0,aatelinen,noble
299,obvious,j,1516.0,ilmiselvä,obvious
300,odd,j,1940.0,kummallinen,odd
301,offensive,j,2691.0,offensiivinen,offensive
302,official,j,1755.0,virallinen,official
303,old,j,184.0,vanha,old
304,only,r,161.0,ainoa,only
305,only,j,368.0,ainoa,only
306,open,j,2586.0,avoin,open
307,opposite,j,3575.0,päinvastainen,opposite
308,oral,j,4857.0,oraalinen,oral
309,ordinary,j,3983.0,tavallinen,ordinary
310,original,j,1611.0,alkuperäinen,original
311,outer,j,3984.0,ulompi,outer
312,own,j,258.0,oma,own
313,painful,j,2308.0,kivulias,painful
314,particular,j,2527.0,erinäinen,particular
315,passionate,j,3428.0,intohimoinen,passionate
316,patient,j,3986.0,kärsivällinen,patient
317,peaceful,j,3987.0,rauhallinen,peaceful
318,perfect,j,383.0,täydellinen,perfect
319,permanent,j,4094.0,pysyvä,permanent
320,personal,j,860.0,henkilökohtainen,personal
321,physical,j,2127.0,fyysinen,physical
322,pink,j,1892.0,vaaleanpunainen,pink
323,pleasant,j,2947.0,miellyttävä,pleasant
324,polite,j,2880.0,kohtelias,polite
325,political,j,2881.0,poliittinen,political
326,poor,j,607.0,köyhä,poor
327,popular,j,1125.0,suosittu,popular
328,positive,j,2162.0,positiivinen,positive
329,possible,j,783.0,mahdollinen,possible
330,potential,j,3204.0,potentiaalinen,potential
331,powerful,j,1711.0,voimakas,powerful
332,practical,j,3722.0,käytännöllinen,practical
333,precious,j,1789.0,kallisarvoinen,precious
334,pregnant,j,819.0,raskaana oleva,pregnant
335,pretty,j,253.0,nätti,pretty
336,pretty,r,743.0,nätti,pretty
337,previous,j,4227.0,edellinen,previous
338,prime,j,3685.0,priima,prime
339,private,j,1102.0,yksityinen,private
340,professional,j,1779.0,ammattimainen,professional
341,proper,j,3360.0,kunnollinen,proper
342,proud,j,696.0,ylpeä,proud
343,psychic,j,4179.0,psyykkinen,psychic
344,psychological,j,4975.0,psykologinen,psychological
345,public,j,1022.0,julkinen,public
346,quick,j,631.0,nopea,quick
347,quiet,j,1144.0,hiljainen,quiet
348,racist,j,2448.0,rasistinen,racist
349,random,j,2741.0,sattumanvarainen,random
350,rare,j,2297.0,harvinainen,rare
351,raw,j,3945.0,raaka,raw
352,real,j,223.0,aito,real
353,realistic,j,3990.0,realistinen,realistic
354,reasonable,j,3066.0,järkevä,reasonable
355,recent,j,3432.0,viimeaikainen,recent
356,red,j,574.0,punainen,red
357,regular,j,1183.0,säännöllinen,regular
358,relevant,j,4454.0,relevantti,relevant
359,religious,j,2842.0,uskonnollinen,religious
360,rich,j,784.0,rikas,rich
361,right,j,59.0,oikea,right
362,right,r,147.0,oikea,right
363,risky,j,4905.0,riskialtis,risky
364,romantic,j,1084.0,romanttinen,romantic
365,rotten,j,3619.0,mätä,rotten
366,rough,j,1747.0,karhea,rough
367,round,r,2674.0,pyöreä,round
368,round,j,3690.0,pyöreä,round
369,rude,j,1637.0,töykeä,rude
370,rusty,j,4340.0,ruosteinen,rusty
371,sad,j,724.0,surullinen,sad
372,safe,j,659.0,turvallinen,safe
373,salty,j,4700.0,suolainen,salty
374,same,j,295.0,samainen,same
375,sarcastic,j,3691.0,sarkastinen,sarcastic
376,scientific,j,2953.0,tieteellinen,scientific
377,secret,j,2576.0,salainen,secret
378,selfish,j,2053.0,itsekäs,selfish
379,sensitive,j,1908.0,arkaluonteinen,sensitive
380,serious,j,519.0,vakava,serious
381,sexual,j,1036.0,seksuaalinen,sexual
382,sexy,j,867.0,seksikäs,sexy
383,sharp,j,2431.0,terävä,sharp
384,shitty,j,2503.0,paskamainen,shitty
385,shocking,j,2903.0,järkyttävä,shocking
386,short,j,785.0,lyhyt,short
387,shy,j,2625.0,ujo,shy
388,significant,j,4346.0,merkittävä,significant
389,silent,j,3045.0,vaitelias,silent
390,silly,j,1010.0,hupsu,silly
391,similar,j,3621.0,samankaltainen,similar
392,simple,j,774.0,simppeli,simple
393,sincere,j,4405.0,vilpitön,sincere
394,sleepy,j,3437.0,unelias,sleepy
395,slight,j,3814.0,hienoinen,slight
396,slim,j,4910.0,hoikka,slim
397,slippery,j,4236.0,liukas,slippery
398,sloppy,j,3731.0,huolimaton,sloppy
399,slow,j,1510.0,hidas,slow
400,slow,r,2735.0,hidas,slow
401,slutty,j,3584.0,huorahtava,slutty
402,small,j,541.0,pieni,small
403,smart,j,564.0,fiksu,smart
404,smooth,j,2139.0,sileä,smooth
405,smug,j,3438.0,omahyväinen,smug
406,sober,j,3331.0,raitis,sober
407,social,j,1422.0,sosiaalinen,social
408,soft,j,1424.0,pehmeä,soft
409,solid,j,2165.0,kiinteä,solid
410,orange,j,2569.0,oranssi,orange
411,southern,j,3950.0,eteläinen,southern
412,special,j,435.0,erityinen,special
413,specific,j,2695.0,tietty,specific
414,spiritual,j,3957.0,hengellinen,spiritual
415,spontaneous,j,4591.0,spontaani,spontaneous
416,steady,j,4044.0,vakaa,steady
417,sticky,j,3951.0,tahmea,sticky
418,stinky,j,2845.0,haiseva,stinky
419,straight,j,1070.0,suora,straight
420,straight,r,1327.0,suora,straight
421,strange,j,965.0,outo,strange
422,strong,j,757.0,vahva,strong
423,stubborn,j,4349.0,itsepäinen,stubborn
424,stunning,j,4593.0,tyrmäävä,stunning
425,stupid,j,244.0,tyhmä,stupid
426,subtle,j,3901.0,hienovarainen,subtle
427,successful,j,1769.0,menestynyt,successful
428,sudden,j,3658.0,äkillinen,sudden
429,superior,j,3867.0,ylempiarvoinen,superior
430,sure,j,127.0,varma,sure
431,sure,r,614.0,varma,sure
432,suspicious,j,3369.0,epäilyttävä,suspicious
433,sweaty,j,3370.0,hikinen,sweaty
434,sweet,j,355.0,makea,sweet
435,tacky,j,4465.0,nahkea,tacky
436,tall,j,1219.0,korkea,tall
437,tasty,j,3299.0,maukas,tasty
438,technical,j,4984.0,tekninen,technical
439,teenage,j,2910.0,teiniikäinen,teenage
440,temporary,j,4912.0,tilapäinen,temporary
441,tense,j,3736.0,jännittynyt,tense
442,thick,j,2911.0,paksu,thick
443,thin,j,1870.0,ohut,thin
444,thirsty,j,3271.0,janoinen,thirsty
445,thoughtful,j,3505.0,ajattelevainen,thoughtful
446,tight,j,1322.0,tiukka,tight
447,tiny,j,1018.0,pikkiriikkinen,tiny
448,tired,j,745.0,väsynyt,tired
449,topless,j,4846.0,yläosaton,topless
450,total,j,1096.0,totaalinen,total
451,tough,j,691.0,sitkeä,tough
452,toxic,j,3373.0,myrkyllinen,toxic
453,traditional,j,3272.0,perinteinen,traditional
454,tragic,j,2778.0,traaginen,tragic
455,triple,j,4915.0,kolminkertainen,triple
456,typical,j,3048.0,tyypillinen,typical
457,ugly,j,961.0,ruma,ugly
458,ultimate,j,2287.0,perimmäinen,ultimate
459,unbelievable,j,1071.0,uskomaton,unbelievable
460,uncomfortable,j,1389.0,epämukava,uncomfortable
461,unconscious,j,5052.0,tajuton,unconscious
462,unemployed,j,4849.0,työtön,unemployed
463,unexpected,j,4526.0,odottamaton,unexpected
464,unfair,j,2609.0,epäreilu,unfair
465,unfortunate,j,4088.0,epäonninen,unfortunate
466,unhappy,j,3001.0,onneton,unhappy
467,unique,j,5054.0,ainutlaatuinen,unique
468,unknown,j,4528.0,tuntematon,unknown
469,unlikely,j,4850.0,epätodennäköinen,unlikely
470,unnecessary,j,4414.0,aiheeton,unnecessary
471,unpleasant,j,4415.0,epämiellyttävä,unpleasant
472,unusual,j,3049.0,epätavallinen,unusual
473,upper,j,2718.0,ylempi,upper
474,urban,j,4299.0,urbaani,urban
475,urgent,j,4354.0,kiireellinen,urgent
476,useful,j,4530.0,hyödyllinen,useful
477,useless,j,2887.0,turha,useless
478,valid,j,4917.0,voimassa oleva,valid
479,various,j,5055.0,useanlainen,various
480,vicious,j,4532.0,paheellinen,vicious
481,violent,j,2610.0,väkivaltainen,violent
482,vulnerable,j,3999.0,haavoittuva,vulnerable
483,warm,j,1051.0,lämmin,warm
484,weak,j,1455.0,heikko,weak
485,wealthy,j,3905.0,varakas,wealthy
486,weekly,j,4147.0,viikoittainen,weekly
487,weird,j,387.0,ufo,weird
488,welcome,j,549.0,tervetullut,welcome
489,wet,j,1309.0,märkä,wet
490,white,j,551.0,valkoinen,white
491,whole,j,225.0,kokonainen,whole
492,wicked,j,3239.0,häijy,wicked
493,wide,j,2264.0,laaja,wide
494,wide,r,3875.0,laaja,wide
495,wild,j,1153.0,villi,wild
496,wise,j,2000.0,viisas,wise
497,witty,j,5059.0,naseva,witty
498,wonderful,j,557.0,ihana,wonderful
499,wooden,j,3822.0,puinen,wooden
500,worthless,j,3508.0,arvoton,worthless
501,wrong,j,208.0,väärä,wrong
502,yellow,j,1607.0,keltainen,yellow
503,young,j,386.0,nuori,young
504,ability,n,2680.0,kyky,ability
505,abortion,n,2591.0,abortti,abortion
506,absence,n,4476.0,poissaolo,absence
507,absolute,j,3511.0,absoluutti,absolute
508,abuse,v,3665.0,väärinkäyttö,abuse
509,accent,n,2238.0,aksentti,accent
510,acceptance,n,4807.0,hyväksymys,acceptance
511,access,n,2461.0,pääsy,access
512,accident,n,949.0,onnettomuus,accident
513,accomplishment,n,4994.0,aikaansaannos,accomplishment
514,account,n,1450.0,tili,account
515,accountant,n,3214.0,kirjanpitäjä,accountant
516,acquaintance,n,4808.0,tuttava,acquaintance
517,act,v,527.0,teko,act
518,act,n,1900.0,teko,act
519,action,n,972.0,toiminta,action
520,actor,n,1249.0,näyttelijä,actor
521,actress,n,2462.0,näyttelijätär,actress
522,addition,n,3549.0,lisä,addition
523,address,n,1533.0,osoite,address
524,address,v,4011.0,osoite,address
525,adjustment,n,3514.0,säätö,adjustment
526,administration,n,4924.0,administraatio,administration
527,adoption,n,3515.0,adoptointi,adoption
528,adult,n,1203.0,aikuinen,adult
529,adult,j,2849.0,aikuinen,adult
530,advantage,n,1886.0,etu,advantage
531,adventure,n,1503.0,seikkailu,adventure
532,advertisement,n,1638.0,mainos,advertisement
533,advice,n,1191.0,neuvo,advice
534,affect,v,2144.0,affekti,affect
535,affection,n,4607.0,kiintymys,affection
536,age,n,804.0,ikä,age
537,age,v,4996.0,ikä,age
538,agent,n,2679.0,agentti,agent
539,agreement,n,2041.0,sopimus,agreement
540,aid,n,4365.0,apuneuvo,aid
541,air,n,648.0,ilma,air
542,air,v,3960.0,ilma,air
543,airline,n,2643.0,ilmailuyhtiö,airline
544,airplane,n,1362.0,lentsikka,airplane
545,airport,n,1363.0,lentoasema,airport
546,alarm,n,1784.0,hälytys,alarm
547,alarm,v,3550.0,hälytys,alarm
548,alcohol,n,1556.0,alkoholi,alcohol
549,alcoholic,n,2561.0,alkoholisti,alcoholic
550,alien,n,1372.0,alieni,alien
551,allergy,n,3787.0,allergia,allergy
552,alley,n,2744.0,kuja,alley
553,altar,n,4151.0,alttari,altar
554,alternative,n,4811.0,vaihtoehto,alternative
555,ambulance,n,3006.0,ambulanssi,ambulance
556,amount,n,1896.0,määrä,amount
557,amusement,n,3378.0,huvi,amusement
558,ancestor,n,3593.0,esi-isä,ancestor
559,anchor,v,4609.0,ankkuri,anchor
560,and,fw,10.0,ääkköstö,and
561,angel,n,1328.0,enkeli,angel
562,anger,n,2055.0,viha,anger
563,angle,n,2890.0,kulma,angle
564,animal,n,689.0,eläin,animal
565,ankle,n,2342.0,nilkka,ankle
566,anniversary,n,1545.0,vuosipäivä,anniversary
567,announcement,n,1742.0,julkistus,announcement
568,annual,j,3336.0,vuosikirja,annual
569,answer,n,640.0,vastaus,answer
570,answer,v,734.0,vastaus,answer
571,ant,n,2701.0,muurahainen,ant
572,anthropology,n,4610.0,antropologia,anthropology
573,anus,n,3407.0,peräaukko,anus
574,anxiety,n,4200.0,ahdistus,anxiety
575,apartment,n,461.0,huoneisto,apartment
576,apology,n,1425.0,anteeksipyyntö,apology
577,appeal,v,3881.0,muutoksenhaku,appeal
578,appearance,n,2851.0,ulkomuoto,appearance
579,appetite,n,3740.0,ruokahalu,appetite
580,applause,n,3700.0,aplodi,applause
581,apple,n,1193.0,omena,apple
582,,,,sovellus,application (an app)
583,,,,hakemus,application (for something)
584,approval,n,3667.0,hyväksyntä,approval
585,architect,n,1752.0,arkkitehti,architect
586,architecture,n,3101.0,arkkitehtuuri,architecture
587,,,,alue,area (locale)
588,,,,pinta-ala,area (m²)
589,argument,n,2042.0,väittely,argument
590,arm,n,772.0,käsi,arm
591,army,n,1491.0,armeija,army
592,arrangement,n,3882.0,järjestely,arrangement
593,arrest,v,1683.0,pidätys,arrest
594,arrest,n,2562.0,pidätys,arrest
595,arrival,n,4715.0,saapuminen,arrival
596,art,n,770.0,taide,art
597,artist,n,1479.0,taiteilija,artist
598,ash,n,4253.0,tuhka,ash
599,ashtray,n,4860.0,tuhkakuppi,ashtray
600,aspirin,n,4366.0,aspiriini,aspirin
601,assembly,n,4152.0,kokoonpano,assembly
602,asshole,n,924.0,persläpi,asshole
603,assignment,n,2722.0,toimeksianto,assignment
604,assistance,n,4480.0,avustaminen,assistance
605,assistant,n,1267.0,avustaja,assistant
606,association,n,3741.0,yhdistys,association
607,atheist,n,3788.0,ateisti,atheist
608,atmosphere,n,4542.0,ilmakehä,atmosphere
609,atom,n,4611.0,atomi,atom
610,attack,n,1310.0,hyökkäys,attack
611,attack,v,1480.0,hyökkäys,attack
612,attention,n,637.0,huomio,attention
613,attic,n,3594.0,vintti,attic
614,attitude,n,1735.0,asenne,attitude
615,attraction,n,4744.0,vetonaula,attraction
616,auction,n,4925.0,huutokauppa,auction
617,audience,n,1472.0,yleisö,audience
618,audition,n,1835.0,koe-esiintyminen,audition
619,audition,v,3244.0,koe-esiintyminen,audition
620,author,v,4612.0,tekijä,author
621,authority,n,2415.0,auktoriteetti,authority
622,autograph,n,4014.0,nimmari,autograph
623,autograph,v,4716.0,nimmari,autograph
624,avenue,n,2239.0,kujanne,avenue
625,aye,r,2167.0,jaa-ääni,aye
626,baby,n,162.0,vauva,baby
627,babysitter,n,3408.0,lapsenvahti,babysitter
628,bachelor,n,1853.0,poikamies,bachelor
629,back,r,84.0,selkä,back
630,back,n,463.0,selkä,back
631,back,j,2317.0,selkä,back
632,back,v,4481.0,selkä,back
633,background,n,2644.0,tausta,background
634,backpack,n,3380.0,selkäreppu,backpack
635,backup,n,2463.0,varmuuskopio,backup
636,backyard,n,2794.0,takapiha,backyard
637,bacon,n,1951.0,pekoni,bacon
638,badge,n,2982.0,rintamerkki,badge
639,bag,n,553.0,kassi,bag
640,bagel,n,2203.0,vesirinkeli,bagel
641,bait,n,4678.0,syötti,bait
642,bakery,n,4367.0,leipomo,bakery
643,balcony,n,4305.0,parveke,balcony
644,ball,n,395.0,pallo,ball
645,ballet,n,3153.0,baletti,ballet
646,balloon,n,1736.0,ilmapallo,balloon
647,ban,v,3129.0,kielto,ban
648,banana,n,1621.0,banaani,banana
649,band,n,753.0,bändi,band
650,bang,v,1481.0,paukaus,bang
651,bang,u,4010.0,paukaus,bang
652,bank,n,1150.0,pankki,bank
653,banker,n,4862.0,pankkiiri,banker
654,banner,n,3409.0,banneri,banner
655,bar,n,446.0,baari,bar
656,,,,haukku,bark (sound)
